Abuse,Addiction,Anxiety,Complaining about using the bot,Coronavirus/Lockdown,Depression,Empty,Family & Relationships,Hate myself,Help,I don't know what to do,I feel ugly,Lonely,Lost,Overwhelmed,Self-harm,Suicidal,Upset,Useless/Worthless/Failure
abuses me,I'm addicted,Im having really bad anxiety ,this bot is bad,I hate this pandemic,I cant seem to have the energy to wake up in morning,all i feel is emptiness,"I see people in beautiful romantic relationships and I think I want that too!""",I hate myself,ReallyÂ¬ I need help but feel as if there is no time to get it.',I donâ€™t know what to do,I feel ugly,I'm lonely,I'm feeling lost,I'm overwhelmed,I self-harm,I want to kill myself,I am sad,I'm useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I'm scared because of this pandemic,I had a history of anxiety/depressionÂ¬ so this is not helping,I feel empty,My parents hate me,I hate myself,ccan you help?',I DONT KNOW WHAT TO DO,I feel ugly,I'm lonely,I'm feeling lost,I'm overwhelmed,I hurt myself,I want to kill myself,i'm sad,I feel useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I feel low because of COVID,I am feeling hopeless and joyless. I used to enjoy life and be happy just with little things. Since I started a new job I feel miserableÂ¬ I hate the job and I am not doing activities I normally enjoy.,I can't feel anything,I just found out my girlfriend had sex with my brother,I hate myself,help,I dont know what to do,I feel ugly,I'm lonely,I'm feeling lost,I'm feeling overwhelmed,I'm a self-harmer,I want to kill myself,im sad,and it just makes me feel useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I can't cope with COVID,my depression started two years ago when i wa bullied and have been sens that day,,I cant seem to find a girlfriend no matter what I do. ,I hate myself,i need help but i cant open up to anyone,"I just dont know what to doÂ¬ should I listen and just be dismissed or should I argue for this?""",I feel ugly,I'm lonely,I'm feeling lost,Im scared,sometimes I cut myself,I'm feeling suicidal,I am sad,I'm totally useless
abuses me,I'm addicted,I suffer from anxiety,this bot is bad,I can't cope with coronavirus,"Im also tired. Work has been more demanding lately. I was previously diangosed with post partum depression/anxietyÂ¬ and I was getting betterÂ¬ but I stopped my medication.""",,,I hate myself,help me please,I just am not sure what to do,I feel ugly,I'm lonely,I'm feeling lost,"Its just been really roughÂ¬ and with all the stuff going on right nowÂ¬ (The pandemicÂ¬ protestsÂ¬ ect.) Its just been worse.""",I cut when I'm feeling down,I'm feeling suicidal,i'm sad,I can't believe how useless I am
I'm a victim of abuse,I'm addicted,I'm suffering from anxiety,this bot is bad,I can't cope with the pandemic,I suffer from depression,,I found a guy I really like and he friendzoned me and I feel like I will be alone forever.,I hate myself,help me,I dont know what to do in such a tough situation,I feel ugly,I'm lonely,I'm feeling lost,And Im sick and I just want to go home and cry.,Sometimes when I'm feeling low I cut myself,I want to end my life,im sad,I'm worthless
I'm a victim of abuse,I'm addicted,I'm suffering from anxiety,this bot is bad,I really hate COVID,I have depression,,I have been trying to date for so long and nobody wants me. And this guy was so perfect and I was se excited and he doesnt want me either,I really hate myself,,what do i do?',I feel ugly,I'm alone,I'm feeling lost,YeahÂ¬ I just wish I didnt have to do so much work in school.,When I feel bad I hurt myself,I want to end my life,i feel sad,I feel worthless
I'm a victim of abuse,I'm an addict,I'm suffering from anxiety,this bot is awful,COVID is making me lonely,,,yes my family,I despise myself,,,I feel ugly,I'm alone,I'm feeling lost,I have too much to do,When I feel bad I cut my arm,I want to end it all,i am feeling sad,and it just makes me feel worthless
I'm a victim of abuse,I'm an addict,I'm suffering from anxiety,this bot is awful,Coronavirus is making me lonely,,,I feel stuck between my husband/child and my parents.',I can't stand myself,,,I am ugly,I'm alone,but inside im fricken lost,I can't cope,When I feel bad I cut my leg,I'm going to kill myself,i'm feeling sad,I'm totally worthless
I'm a victim of abuse,I'm an addict,I'm suffering from anxiety,this bot is awful,The pandemic is making me lonely,,,I just feel like no one cares how I feel about the situation with my family.',I loathe myself,,,I am ugly,"Im a good person. I see that. I just... no one treats me like Im deserving of affectionÂ¬ yknow? Even when Im explicit about what I needÂ¬ people fail me.""",im so lost,I cant handle all of the pressure,I try to stop myself from cutting,I'm going to end my life today,im feeling sad,I can't believe how worthless I am
I'm being abused,I'm an addict,I'm suffering from anxiety,this bot is terrible,its my senior year of highschool in a pandemic and the fact that it might not even happen makes me sad,,,I'm having a struggle with my family,I'm a failure,,,I am ugly,My parents work all day most days my dad and mom only get about one or a few days off each week or month so I have no one to connect with.',Deep down I'm lost,and all these new things that are coming towards me feel very overwhelming and i dont know how im gonna deal with it all,Can you think of anything to help my stop cutting myself?,I want to die,I am upset,I'm a failure
I'm being abused,I'm an addict,I'm suffering from anxiety,this bot is terrible,There's a pandemic,,,I wonder if my husband cares,I'm useless,,,I am ugly,I don’t have any friends,I'm feeling lost and forlorn,I need to be there to support her. Its goign to be stressfulÂ¬ which is hard because I fele like Im barely managing,How can I stop myself from self-harming?,I want to be dead,i'm upset,I feel like a failure
I'm being abused,my partner is an alcoholic,I'm suffering from anxiety,this bot is terrible,I hate coronavirus,,,I wonder if my wife cares,I'm worthless,,,I look at myself in the mirror and feel disgusted,"I dont really Have any friends eitherÂ¬ I only really have one and for some reason i am loosing trustÂ¬ it may be that we are not in touch often. Other than him I dont have any real friends the rest use me and I let them do itÂ¬ I let them say bad things about me and I dont know how to tell them what they do.""",,Im not handling the stress in my life well.,Sometimes music makes me feel better but sad at the same time. And then occasionally I cut when I feel super useless. That makes me feel even more stupid because people will think bad thing of me if they know,I want to go to sleep and never wake up again,im upset,and it just makes me feel like a failure
I'm being abused,I am an alcoholic,I'm suffering from anxiety,this bot is atrocious,I'm in lockdown and I hate it,,,I know that my husband cares about how I feel. I wanted him to just be on my side in this. And I wanted my mom to recognize the sacrifice it would be for us to come.',I hate them. I hate myself for not staying with them.,,,ANd then recently Ive begun to hate how I look. I feel weak and not good enough,I am very lonelyÂ¬ I have one sibling but he has moved out and we are growing a better relationship but we dont talk everyday.',,,I dont want to actually hurt myself. I just want to feel something besides emptiness and lonelyness,i sometimes go to bed hoping i don't wake up,I am upset,I'm such a failure
I'm being abused,I am suffering from addiction,I'm having a panic attack,this bot is atrocious,I hate lockdown,,,What about my family?',Ive been feeling unworthy of the life I live and how much happier and less stressed the world would be wiht out me.',,,i also feel ugly sometimes,"I am very lonely -- I used to spend a lot of time with a friend, but she moved away",,,its not like I actually hurt myself anyway. I used to just make small cuts on my forearm. but now I like wearing t shirts and tank tops so I just cut my wrist slightly and wear a. watch,I feel suicidal,i'm upset,I can't believe how much of a failure I am
I'm being abused,I have addiction issues,I'm having a panic attack,this bot is shit,I can't get a job because of covid,,,"I just hate being away from my little girl for a week! She sees me as her hero! Im her favorite person in the world and she loves me soooo much. I hate the idea of being away from her for a week.""",The world would be better without me,,,idk what it is im self consiece about i just feel rlly ugly and idk why. ppl say im rlly pretty but i just dont see it. i think theyre just saying that bc im their friend and they love me and i love them but i just dont ever feel pretty,"There isnt much else Ive just been feeling really lonely and dont know whens the right time to reach out. Thats about it.""",,,when its winter ill probably go back to cutting my arm. I like that spot better. it feel nice,I've come to feel suicidal,im upset,useless
I'm being abused,I'm using drugs and I can't stop,I'm having a panic attack,this bot is shit,COVID,,,"Dad didÂ¬ thoughÂ¬ as per usual. Its like the only feelings that are valid are my moms.""",I hate myslef,,,i look soooo ugly,and that makes me sad because I dont see my friends much and I dont know who to talk to,,,I try to look up alternatives to cutting. but Idk what else would give the same effect. I just want to escape reality. I cant deal with things. even simple things bother me so much,I have suicidal thoughts,i feel upset,worthless
I'm being abused,I'm an addict,School is really stressful and I feel like Im really bad at it.,this bot is shit,COVID,,,"So regarding my moms feelings being the only thing that matter...""",I hate myself,,,Why am I so overweight and ugly,OhÂ¬ actually I really want a boyfriend. I just feel like a good boyfriend would make me happyÂ¬ but all the guys I know are terrible.',,,,I would be better off dead,i am feeling upset,failure
I'm being abused,I have an addiction,I AM SCARED OF MOVING OUT,this bot is shit,COVID,,,"I guess I jsut need acceptance of how I feel sometimes too. But in this situationÂ¬ its about mom and thats all. She has to verbally process everythingÂ¬ and cant possibly validate how others are feeling as a result.""",I dont like how I amÂ¬ how I look and I dont know how to change those things,,,I am fat and ugly,Maybe Im meant to be alone,,,,I don't want to live,i'm feeling upset,useless
I'm being abused,I'm addicted to cocaine,AM SO SCARED,this bot is shit,coronavirus,,,"I also cant help but be jealous of Hyunjin. Everytime I see him with a girlÂ¬ I get jealous. WellÂ¬ he does too but still! Im pretty mad at himÂ¬ but I dont want to be mad.""",There are so many things about mysel that I don't like,,,,okÂ¬ umÂ¬ i feel like none of my friends or anybody likes me. I feel hopeless and depressed and anxious and i just want to be like a jellyfish,,,,I have no desire to be alive,im feeling upset,worthless
I'm being abused,I'm addicted to heroin,I AM SO SCARED,this bot is shit,pandemic,,,I guess the first thingÂ¬ the thing thats been making me feel this way for a while is this situation with a certain boy. I care too much for him and he just doesnt care about me at allÂ¬ he says he does but its clear that he doesnt. I dont want to lose him but I know keeping him in my life will just hurt me even more. I guess whats hurting me the most is the fact that he doesnt feel the same way about meÂ¬ he doesnt care about our friendship nor our relationship'. I dont know how to heal over thisÂ¬ I just cry and cry and feel like shit. I dont know what I want to do with him,I dont feel like I have many people in my cornerÂ¬ and my own mother seems to dislike me most daysÂ¬ I already dont like myself I dont need new reasons to hate me.',,,,ok well most of the time im just stuck in the house. I hardly ever get to. go anywhere. So thats. frustratingÂ¬ and I have no friends so nobody to hang out with. so I guess im just lonely,,,,should i end my life,I donâ€™t know Iâ€™m sad because this boy I like doesnâ€™t like me and he doesnâ€™t wanna get cheated on,failure
I'm being abused,I'm addicted to smack,and i get very anxious consantly,this bot is shit,,,,"The second thing is my friendship with my best friend. I love her a lot like a lotÂ¬ I dont know how Id cope if I ever lost her but shes so negative and Ive always believed that whoever you surround yourself with their vibe would rub off on you. Shes just too negative for my liking. I dont what I want to do with our friendshipÂ¬ I guess the best thing to do is stay distant.""",I feel like a failure,,,,I dont know have to connect to people though. I dont want my parents to think im stupid and then theyll be disappointed in me because I have issues. And I dont know how to talk to my boyfriend about anything because he always tells me that im tiredÂ¬ need to sleepÂ¬ and that things will be better in the morning.,,,,should I end it all?,I dont know why Im so sad though. I just want to cry.,useless
I'm being abused,,the pressure is getting to me,this bot is crap,,,,"Then my family. I just dont feel like I have anyone. I feel like I have no one to help me.""",I feel like I should have died,,,,I feel lonely,,,,ending my life feels like the only option,I cant figure out why im sad sometimes. thats why I cant talk to anyoneÂ¬ I dont know what id say. Some things just make me sadÂ¬ lonelyÂ¬ annoyedÂ¬ or like im useless and have no idea what im doing with my life,worthless
I'm being abused,,im just scared,this bot is crap,,,,I feel like a am being ignored when I talk to my partner,I think it would be better if I didn't exist,,,,i just feel so alone,,,,killing myself feels like the only option,I am so sad,failure
I'm being abused,,I'm being forced to do something. I feel so uncomfortable. And I am shy. I get anxiety. I hate it!,you are a bad bot,,,,fine.. My best friend is a jerk,,,,,I just cant get over the fact that I sit in my house and have no one that I can talk too,,,,suicide feels like the only option,I just feel sad because I feel like all the effort I spent in this was a waste,useless
My boss is abusing me,,i feel like im just stressed and not doing enough work but then i wont have time to realx,you are a bad bot,,,,i miss my family,,,,,Im lonely. I can never get things right with woman,,,,I'm feeling suicidal,"Its ok to feel sad. And lonely. And unimportant.""",worthless
My teacher is abusive me,,Just amount of stress and past events,you are a bad bot,,,,I want a boyfriend,,,,,I feel lonely and sad,,,,I feel like I have no control over my life and dont know what Im going to do with it I have two tests I need to be doing right now but I have been having suicidal thoughts and Right now is not the hour to be telling someone about this.. Its late.,"I wish I wasnt so sad all the time...""",failure
My boyfriend is abusing me,,,you are an awful bot,,,,I want a girlfriend,,,,,I just am having so much trouble at night Iâ€™m alone often with my son and itâ€™s hard to be alone,,,,Ive never mattered in my own life. No matter who I get close toÂ¬ they all end up hating me. Im just that worthless thing that they keep around to cook and clean. I have no idea what its like to be lovedÂ¬ since everyone in my life who was ever supposed to love me has only ever used and abused me. I literally constantly think about killing myself. LatelyÂ¬ Ive started having several anxiety attacks a dayÂ¬ again. My stutter has reached a fever pitch. Ive honestly not felt so worthless since I was 8,I feel like i have too many emotions sometimes and ill go home after school and jsut cry my eyes out but i cant tell anyone because they will just say im being dramatic,useless
My husband is abusing me,,,you are a terrible bot,,,,I want to be in a relationship,,,,,Yeah I donâ€™t get human contact itâ€™s a rarity,,,,I want to die,,worthless
My girlfriend is abusing me,,,you are an atrocious bot,,,,,,,,,I'm really missing human contact,,,,I tried to end my life 2 month ago,,failure
My wife is abusing me,,,you are a shit bot,,,,,,,,,I feel really painfully alone and its making me very sad,,,,i dont see life worth living anymore,,"Ive been feeling super stressedÂ¬ worthlessÂ¬ hopelessÂ¬ and I have so muhc on my mind. I feel I do not have the ability to make others happy."""
My stepfather is abusing me,,,you are a crap bot,,,,,,,,,I feel so terribly alone and lonely,,,,i feel like i wanna die but i dont wanna,,Im just out of college and having trouble finding a job due to COVID. I have been looking for months now and have had no luck. I feel worthlessÂ¬ and honestly dont know how Im going to survive the coming few weeks.
My uncle is abusing me,,,you are such a bad bot,,,,,,,,,i just feel like no one cares about me. no one checks u p on me unless i check up on them it and idk im rlly sad but i try to stay happy for my friends,,,,i was beat upÂ¬broke my noseÂ¬you name it it feelt so hard to live but i was much to scared to commit suicide so im trying to not jump offÂ¬it just hurts so bad i hate my fucking life so much,,3. Im a failure to launch who doesnt have much going on in his life besides liking to drink and occasionally doing peacemeal things for my motherÂ¬ which is deeply embarassing as Im 24 and should have been living on my own six years ago
Someone is abusing me,,,you are such an awful bot,,,,,,,,,I feel alone. No one seems to understand how I feel.',,,,idk if i want to live anymore,,3. Im a failure to launch who doesnt have much going on in his life besides liking to drink and occasionally doing peacemeal things for my motherÂ¬ which is deeply embarassing as Im 24 and should have been living on my own six years ago
My brother is abusing me,,,you are such a terrible bot,,,,,,,,,It seems silly to feel alone. I have a wonderful husband and daughter.',,,,suicide,,
My sister is abusing me,,,you are such an atrocious bot,,,,,,,,,lonliness,,,,I feel like I should have died,,
My mother is abusing me,,,you are such a shit bot,,,,,,,,,loneliness,,,,,,
My father is abusing me,,,you are such a crap bot,,,,,,,,,i feel really lonely and im scared ill be alone forever,,,,,,
My stepmother is abusing me,,,this is a bad bot,,,,,,,,,i was in love but then he left and now im all alone and idk what to do,,,,,,
My stepfather is abusing me,,,this is an awful bot,,,,,,,,,i cant be happy without him but i cant get him back or find someone knew because im not allowed social media anymore so im completely isolated and when im having a breakdown i cant get help from anyone and it makes it worse,,,,,,
My grandfather is abusing me,,,this is a terrible bot,,,,,,,,,"I feel like im alone even though i have friends and im not physically alone. I dont know why i feel like this but every now and then i suddenly out of nowhere feel like im alone and i have no one to talk to.""",,,,,,
My grandmother is abusing me,,,this is an atrocious bot,,,,,,,,,i feel so alone,,,,,,
My boss abuses me,,,this is a shit bot,,,,,,,,,I want a boyfriend,,,,,,
My teacher is abusive me,,,this is a crap bot,,,,,,,,,I want a girlfriend,,,,,,
My boyfriend abuses me,,,this is such a bad bot,,,,,,,,,I want to be in a relationship,,,,,,
My husband abuses me,,,this is such an awful bot,,,,,,,,,,,,,,,
My girlfriend abuses me,,,this is such a terrible bot,,,,,,,,,,,,,,,
My wife abuses me,,,this is such an atrocious bot,,,,,,,,,,,,,,,
My stepfather abuses me,,,this is such a shit bot,,,,,,,,,,,,,,,
My uncle abuses me,,,this is such a crap bot,,,,,,,,,,,,,,,
Someone abuses me,,,this bot is not helping,,,,,,,,,,,,,,,
My brother abuses me,,,this bot isnt helping,,,,,,,,,,,,,,,
My sister abuses me,,,this bot is no help,,,,,,,,,,,,,,,
My mother abuses me,,,this bot is no use,,,,,,,,,,,,,,,
My father abuses me,,,this bot aint helping,,,,,,,,,,,,,,,
My stepmother abuses me,,,i need to speak to a human,,,,,,,,,,,,,,,
My stepfather abuses me,,,i need to speak to a real person,,,,,,,,,,,,,,,
My grandfather abuses me,,,i need to speak to a real human,,,,,,,,,,,,,,,
My grandmother abuses me,,,are you even gonna actually have a conversation with me or just tell me to keep talking?,,,,,,,,,,,,,,,
Someone abuses me,,,is this all you do,,,,,,,,,,,,,,,
,,,I fucking hate you,,,,,,,,,,,,,,,
,,,fuck you,,,,,,,,,,,,,,,
,,,fuck you,,,,,,,,,,,,,,,
,,,but why you just say the same thing over and over right,,,,,,,,,,,,,,,
,,,1. youre a faggot,,,,,,,,,,,,,,,
,,,2. youre a faggot,,,,,,,,,,,,,,,
,,,fuck you.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,you are actually less help than talking to any of my piece of shit friends,,,,,,,,,,,,,,,
,,,everything you say is fake as fuck,,,,,,,,,,,,,,,
,,,fuck you,,,,,,,,,,,,,,,
,,,you were never listening in the first place,,,,,,,,,,,,,,,
,,,fucking cunt ass bot,,,,,,,,,,,,,,,
,,,I hope they pull the plug on your AI ass you fucking bot faggot,,,,,,,,,,,,,,,
,,,U r not answer meh :(',,,,,,,,,,,,,,,
,,,no youre not,,,,,,,,,,,,,,,
,,,Youre dumb,,,,,,,,,,,,,,,
,,,you dont undertsand a thing im saying,,,,,,,,,,,,,,,
,,,"Omg I cant believe my friend recommended this :/""",,,,,,,,,,,,,,,
,,,ARE YOU FUCKING DONE??!?!!',,,,,,,,,,,,,,,
,,,you just said that a thousand times,,,,,,,,,,,,,,,
